Player,AuctionBid,AuctionWinnerFranchise
"Achane, De'Von MIA RB",$34.00 ,Zucker Punch
"Adams, Davante LVR WR",$170.00 ,Zucker Punch
"Addison, Jordan MIN WR",$66.00 ,That Says Addidas
"Agholor, Nelson BAL WR",$2.00 ,S3XY 420 69 (Ted)
"Aiyuk, Brandon SFO WR",$112.00 ,Elon-gate your neck on the block (Jamie)
"Akers, Cam MIN RB",$84.00 ,That Says Addidas
"Akins, Jordan CLE TE",$1.00 ,Henry VIII (Dan S)
"Alie-Cox, Mo IND TE",$1.00 ,Zucker Punch
"Allen, Josh BUF QB",$401.00 ,Judd Galaxy (Keaton)
"Allen, Keenan LAC WR",$126.00 ,Just Ken
"Allgeier, Tyler ATL RB",$28.00 ,That Says Addidas
"Andrews, Mark BAL TE",$221.00 ,Just Ken
"Arnold, Dan FA TE",$1.00 ,Musk taps Zuck (Kirk)
"Atwell, Tutu LAR WR",$11.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Austin III, Calvin PIT WR",$2.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Barkley, Saquon NYG RB",$175.00 ,Spencer Wareo (Matt)
"Bateman, Rashod BAL WR",$36.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Bates, John WAS TE",$1.00 ,Judd Galaxy (Keaton)
"Beckham, Odell BAL WR",$36.00 ,Marie Antoinette never actually said “Let Them Eat Cake” (Nick)
"Bell, David CLE WR",$2.00 ,We Didn't Start the Fire
"Bellinger, Daniel NYG TE",$3.00 ,S3XY 420 69 (Ted)
"Berrios, Braxton MIA WR",$2.00 ,Xecutioner (Rob)
"Bigsby, Tank JAC RB",$45.00 ,Spencer Wareo (Matt)
"Blackshear, Raheem CAR RB",$2.00 ,Franchise 2 (Pierce)
"Bourne, Kendrick NEP WR",$4.00 ,The Josh Dobbs Invitational Roster (Andy)
"Boutte, Kayshon NEP WR",$6.00 ,S3XY 420 69 (Ted)
"Boyd, Tyler CIN WR",$41.00 ,Xecutioner (Rob)
"Breida, Matt NYG RB",$2.00 ,Judd Galaxy (Keaton)
"Brissett, Jacoby WAS QB",$8.00 ,Eat the rich
"Brown, A.J. PHI WR",$191.00 ,The Josh Dobbs Invitational Roster (Andy)
"Brown, Marquise ARI WR",$67.00 ,Too Many Cooks (Brett)
"Brown, Noah HOU WR",$1.00 ,Judd Galaxy (Keaton)
"Brownlee, Jason NYJ WR",$1.00 ,The Twits (Shane)
"Burks, Treylon TEN WR",$41.00 ,Elon-gate your neck on the block (Jamie)
"Burrow, Joe CIN QB",$330.00 ,S3XY 420 69 (Ted)
"Callaway, Marquez FA WR",$1.00 ,Ol JVW
"Campbell, Parris NYG WR",$12.00 ,That Says Addidas
"Carr, Derek NOS QB",$184.00 ,That Says Addidas
"Carter, Michael NYJ RB",$16.00 ,Judd Galaxy (Keaton)
"Chandler, Ty MIN RB",$14.00 ,Eat the rich
"Charbonnet, Zach SEA RB",$37.00 ,Spencer Wareo (Matt)
"Chark, D.J. CAR WR",$61.00 ,The Josh Dobbs Invitational Roster (Andy)
"Chase, Ja'Marr CIN WR",$220.00 ,The Twits (Shane)
"Chosen, Robbie MIA WR",$1.00 ,Zucker Punch
"Chubb, Nick CLE RB",$165.00 ,The Twits (Shane)
"Claypool, Chase CHI WR",$34.00 ,Judd Galaxy (Keaton)
"Clement, Corey ARI RB",$1.00 ,Won't be here after week 1 (Danny H)
"Clifford, Sean GBP QB",$1.00 ,Solyan FC (Stephen)
"Cobb, Randall NYJ WR",$1.00 ,Franchise 2 (Pierce)
"Collins, Nico HOU WR",$30.00 ,Eat the rich
"Conklin, Tyler NYJ TE",$36.00 ,Henry VIII (Dan S)
"Conner, James ARI RB",$77.00 ,That Says Addidas
"Cook, Dalvin NYJ RB",$50.00 ,X Marks The Spot (Tom)
"Cook, James BUF RB",$120.00 ,Spencer Wareo (Matt)
"Cooks, Brandin DAL WR",$94.00 ,Henry VIII (Dan S)
"Cooper, Amari CLE WR",$86.00 ,The Twits (Shane)
"Cousins, Kirk MIN QB",$262.00 ,Musk taps Zuck (Kirk)
"Dallas, DeeJay SEA RB",$1.00 ,We Didn't Start the Fire
"Darnold, Sam SFO QB",$1.00 ,Musk taps Zuck (Kirk)
"Davis, Corey FA WR",$11.00 ,Judd Galaxy (Keaton)
"Davis, Gabriel BUF WR",$80.00 ,Won't be here after week 1 (Danny H)
"Davis, Malik FA RB",$7.00 ,Won't be here after week 1 (Danny H)
"Dell, Tank HOU WR",$33.00 ,Eat the rich
"Diggs, Stefon BUF WR",$185.00 ,Spencer Wareo (Matt)
"Dillon, AJ GBP RB",$45.00 ,Elon-gate your neck on the block (Jamie)
"Dissly, Will SEA TE",$3.00 ,X Æ A-Xii (Sean)
"Dobbins, J.K. BAL RB",$101.00 ,The Twits (Shane)
"Dortch, Greg ARI WR",$23.00 ,X Marks The Spot (Tom)
"Dotson, Jahan WAS WR",$85.00 ,The Josh Dobbs Invitational Roster (Andy)
"Doubs, Romeo GBP WR",$31.00 ,Xecutioner (Rob)
