WaiverDate,WaiverWinnerFranchise,Player,WaiverBid
Thu Sep 28 3:00:00 p.m. ET 2023,The Twits (Shane),"Brown, Dyami WAS WR",$0.00
Thu Sep 28 3:00:00 p.m. ET 2023,Too Many Cooks (Brett),"Zaccheaus, Olamide PHI WR",$0.00
Thu Sep 28 3:00:00 p.m. ET 2023,Solyan FC (Stephen),"Foreman, D'Onta CHI RB",$0.00
Thu Sep 28 3:00:00 p.m. ET 2023,X Marks The Spot (Tom),"Toure, Samori GBP WR",$0.00
Thu Sep 28 3:00:00 p.m. ET 2023,The Twits (Shane),"Ross, Justyn KCC WR",$0.00
Thu Sep 28 3:00:00 p.m. ET 2023,Too Many Cooks (Brett),"Shenault, Laviska CAR WR",$0.00
Thu Sep 28 3:00:00 p.m. ET 2023,Solyan FC (Stephen),"Brown, Pharaoh NEP TE",$0.00
Thu Sep 28 3:00:00 p.m. ET 2023,Ol JVW,"Evans, Zach LAR RB",$0.00
Thu Sep 28 3:00:00 p.m. ET 2023,Musk taps Zuck (Kirk),"Graham, Jimmy NOS TE",$1.00
Thu Sep 28 3:00:00 p.m. ET 2023,Judd Galaxy (Keaton),"Sermon, Trey IND RB",$1.00
Thu Sep 28 3:00:00 p.m. ET 2023,Spencer Wareo (Matt),"Chosen, Robbie MIA WR",$1.00
Thu Sep 28 3:00:00 p.m. ET 2023,Musk taps Zuck (Kirk),"Vaughn, Deuce DAL RB",$1.00
Thu Sep 28 3:00:00 p.m. ET 2023,Elon-gate your neck on the block (Jamie),"Abdullah, Ameer LVR RB",$2.00
Thu Sep 28 3:00:00 p.m. ET 2023,Elon-gate your neck on the block (Jamie),"Jordan, Brevin HOU TE",$2.00
Thu Sep 28 3:00:00 p.m. ET 2023,X Marks The Spot (Tom),"Marshall, Terrace CAR WR",$9.00
Thu Sep 28 3:00:00 p.m. ET 2023,X Marks The Spot (Tom),"Granson, Kylen IND TE",$10.00
Thu Sep 28 3:00:00 p.m. ET 2023,Judd Galaxy (Keaton),"Ingram, Keaontay ARI RB",$11.00
Thu Sep 28 3:00:00 p.m. ET 2023,X Æ A-Xii (Sean),"Gordon, Melvin BAL RB",$30.00
Thu Sep 28 3:00:00 p.m. ET 2023,Eat the rich,"Johnson, Diontae PIT WR",$30.00
Thu Sep 28 3:00:00 p.m. ET 2023,X Æ A-Xii (Sean),"Drake, Kenyan BAL RB",$40.00
Thu Sep 28 3:00:00 p.m. ET 2023,Spencer Wareo (Matt),"Cooks, Brandin DAL WR",$65.00
Thu Sep 28 3:00:00 p.m. ET 2023,X Æ A-Xii (Sean),"Conklin, Tyler NYJ TE",$65.00
Thu Sep 28 3:00:00 p.m. ET 2023,Judd Galaxy (Keaton),"Woods, Robert HOU WR",$66.00
Thu Sep 28 3:00:00 p.m. ET 2023,Spencer Wareo (Matt),"Hill, Justice BAL RB",$105.00
Thu Sep 28 3:00:00 p.m. ET 2023,Judd Galaxy (Keaton),"Reynolds, Josh DET WR",$116.00
Thu Sep 28 3:00:00 p.m. ET 2023,S3XY 420 69 (Ted),"Chark, D.J. CAR WR",$125.00
Thu Sep 28 3:00:00 p.m. ET 2023,Eat the rich,"Kupp, Cooper LAR WR",$145.00
Thu Sep 28 3:00:00 p.m. ET 2023,S3XY 420 69 (Ted),"Ridder, Desmond ATL QB",$221.00
Thu Sep 28 3:00:00 p.m. ET 2023,S3XY 420 69 (Ted),"Hopkins, DeAndre TEN WR",$301.00
Thu Sep 28 3:00:00 p.m. ET 2023,Marie Antoinette never actually said “Let Them Eat Cake” (Nick),"Williams, Javonte DEN RB",$380.00
Thu Sep 28 3:00:00 p.m. ET 2023,The Twits (Shane),"Wilson, Russell DEN QB",$420.00
Thu Sep 28 3:00:00 p.m. ET 2023,That Says Addidas,"Mixon, Joe CIN RB",$469.00
Thu Sep 28 3:00:00 p.m. ET 2023,That Says Addidas,"Kamara, Alvin NOS RB",$569.00
Thu Sep 21 3:00:00 p.m. ET 2023,Too Many Cooks (Brett),"Hardman, Mecole NYJ WR",$0.00
Thu Sep 21 3:00:00 p.m. ET 2023,Too Many Cooks (Brett),"Skowronek, Ben LAR WR",$0.00
Thu Sep 21 3:00:00 p.m. ET 2023,Solyan FC (Stephen),"Juszczyk, Kyle SFO RB",$0.00
Thu Sep 21 3:00:00 p.m. ET 2023,Too Many Cooks (Brett),"Jones, Marvin DET WR",$0.00
Thu Sep 21 3:00:00 p.m. ET 2023,Henry VIII (Dan S),"Shenault, Laviska CAR WR",$0.00
Thu Sep 21 3:00:00 p.m. ET 2023,Elon-gate your neck on the block (Jamie),"Brightwell, Gary NYG RB",$1.00
Thu Sep 21 3:00:00 p.m. ET 2023,Judd Galaxy (Keaton),"Moore, Chris TEN WR",$1.00
Thu Sep 21 3:00:00 p.m. ET 2023,Zucker Punch,"Winston, Jameis NOS QB",$1.00
Thu Sep 21 3:00:00 p.m. ET 2023,Elon-gate your neck on the block (Jamie),"Turpin, KaVontae DAL WR",$1.00
Thu Sep 21 3:00:00 p.m. ET 2023,Ol JVW,"Tolbert, Jalen DAL WR",$5.00
